epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.779,1.46375,3.55278,4.59134,0.01962,3.72348,0.29,0.13506,0.12336,0.07512,0.47867,0.12499,0.10848,0.05212,1.91304,3.90055,3.47026,0.03931,0,0.00998205,0.00332735,0.00998205,0.00332735,0.00998205,0.00332735,0.00998205,0.00332735
2,412.207,1.35193,2.77562,2.49348,0.01727,2.41921,0.33519,0.31844,0.23351,0.13977,0.31459,0.29778,0.21302,0.10521,1.64242,3.3811,2.73319,0.03086,0,0.0199326,0.0066442,0.0199326,0.0066442,0.0199326,0.0066442,0.0199326,0.0066442
3,567.249,1.44754,2.78441,2.45161,0.0189,2.40372,0.33107,0.36532,0.2898,0.17325,0.33291,0.34287,0.27717,0.14305,1.62395,3.05953,2.48265,0.03091,0,0.0298336,0.00994455,0.0298336,0.00994455,0.0298336,0.00994455,0.0298336,0.00994455
4,719.064,1.51403,2.84825,2.52776,0.01996,2.59732,0.24802,0.2739,0.18898,0.0938,0.23791,0.23392,0.15689,0.06669,1.89266,3.70707,2.97714,0.03701,0,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,870.976,1.51329,2.80311,2.4513,0.01982,2.49649,0.32116,0.31303,0.26407,0.14639,0.33954,0.3049,0.25362,0.12665,1.74273,3.09672,2.64761,0.03331,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,1022.7,1.46141,2.68255,2.34806,0.01896,2.38376,0.36188,0.39116,0.32266,0.18993,0.36315,0.38025,0.30619,0.15919,1.63437,3.06737,2.40451,0.02925,0,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,1174.01,1.45828,2.63661,2.33603,0.01859,2.30356,0.38208,0.41975,0.36926,0.21996,0.40184,0.39964,0.35879,0.18927,1.5232,2.78837,2.24633,0.02725,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,1323.88,1.44726,2.60499,2.28084,0.01851,2.3085,0.43151,0.43378,0.40834,0.2421,0.44444,0.42005,0.38582,0.21075,1.50897,2.708,2.10805,0.0271,0,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,1475.06,1.4086,2.5568,2.25572,0.01804,2.23068,0.43646,0.44828,0.3918,0.24356,0.40685,0.44173,0.37213,0.20718,1.49792,2.72296,2.16342,0.026,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,1624.47,1.39777,2.50159,2.21895,0.01777,2.22077,0.47269,0.47326,0.4437,0.26531,0.4743,0.47002,0.43373,0.2315,1.49498,2.52332,2.03419,0.02655,0,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,1775.1,1.37417,2.45737,2.12017,0.01701,2.09377,0.51169,0.41988,0.42716,0.26381,0.50139,0.40669,0.41172,0.22776,1.49451,2.67366,2.0782,0.02652,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,1925.83,1.37481,2.48393,2.16775,0.01709,2.11357,0.43614,0.47188,0.42814,0.26425,0.4486,0.45014,0.40783,0.22244,1.43797,2.60163,1.9974,0.02503,0,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,2074.96,1.37131,2.42081,2.11017,0.01713,2.08471,0.55065,0.44465,0.4474,0.28274,0.54725,0.43521,0.42986,0.23805,1.45167,2.69107,1.94693,0.02551,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,2224.32,1.36703,2.43524,2.10078,0.01712,2.01425,0.46456,0.44893,0.4237,0.26216,0.46898,0.42705,0.40641,0.22362,1.49592,2.72449,2.10125,0.0265,0,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,2375.98,1.34891,2.41364,2.08723,0.01662,2.02974,0.46923,0.49541,0.45728,0.29242,0.47152,0.47705,0.44024,0.246,1.40463,2.58726,1.95025,0.02385,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
